Text;Intent
tắt đèn hành lang;turn_off_light
tắt đèn ngay;turn_off_light
tắt đèn giúp tôi;turn_off_light
tắt đèn phòng tôi;turn_off_light
cho tắt đèn;turn_off_light
ngắt đèn;turn_off_light
tắt toàn bộ đèn;turn_off_light
tắt đèn phòng khách đi;turn_off_light
tắt hết đèn trong phòng ngủ;turn_off_light
tắt đèn nhà bếp;turn_off_light
tắt đèn ngủ đi;turn_off_light
tắt đèn cầu thang;turn_off_light
tắt đèn sân vườn;turn_off_light
tắt đèn phòng tắm;turn_off_light
tắt đèn ban công;turn_off_light
tắt đèn phòng thờ;turn_off_light
tắt đèn tủ bếp;turn_off_light
tắt đèn bàn học;turn_off_light
tắt hết đèn tầng hai;turn_off_light
tắt đèn chùm phòng ăn;turn_off_light
tắt đèn cảm biến;turn_off_light
tắt đèn phòng làm việc;turn_off_light
làm ơn tắt đèn phòng khách giúp tôi;turn_off_light
bạn tắt đèn phòng ngủ được không ạ;turn_off_light
phiền chị tắt đèn nhà bếp dùm em;turn_off_light
có thể tắt đèn hành lang được không;turn_off_light
làm ơn tắt hết đèn trong phòng;turn_off_light
cho tôi nhờ tắt đèn cầu thang;turn_off_light
bạn vui lòng tắt đèn sân vườn;turn_off_light
tắt đèn phòng tắm giúp tôi nhé;turn_off_light
làm ơn tắt đèn phòng thờ;turn_off_light
bạn tắt đèn bàn học dùm mình;turn_off_light
bạn có thể tắt đèn giúp tôi không;turn_off_light
làm ơn tắt đèn đi;turn_off_light
bạn tắt đèn phòng khách giúp tôi;turn_off_light
có thể tắt đèn không;turn_off_light
tắt đèn giùm tôi nhé;turn_off_light
làm ơn tắt đèn phòng ngủ;turn_off_light
bạn tắt đèn giúp tôi được không;turn_off_light
có thể tắt hết đèn không;turn_off_light
tắt đèn giúp tôi nhé;turn_off_light
làm ơn tắt đèn;turn_off_light
sáng quá, tắt đèn đi;turn_off_light
đi ngủ rồi, tắt đèn;turn_off_light
không cần ánh sáng nữa, tắt đèn;turn_off_light
tiết kiệm điện, tắt đèn;turn_off_light
ra ngoài rồi, tắt đèn;turn_off_light
đèn chói quá, tắt đi;turn_off_light
không dùng nữa, tắt đèn;turn_off_light
ban ngày rồi, tắt đèn;turn_off_light
đủ sáng rồi, tắt đèn;turn_off_light
chói mắt quá, tắt đèn;turn_off_light
trời sáng rồi, tắt đèn phòng khách đi;turn_off_light
ra ngoài hết rồi, tắt đèn trong nhà;turn_off_light
đi ngủ thôi, tắt hết đèn đi;turn_off_light
không có ai ở phòng này, tắt đèn tiết kiệm điện;turn_off_light
phim xong rồi, tắt đèn phòng khách;turn_off_light
con đã ngủ rồi, tắt đèn phòng ngủ;turn_off_light
nấu ăn xong rồi, tắt đèn bếp đi;turn_off_light
sắp có bão, tắt hết đèn ngoài sân;turn_off_light
mắt chói quá, tắt đèn bàn đi;turn_off_light
lãng phí điện quá, tắt bớt đèn đi;turn_off_light
sáng quá, không nhìn ra ngoài được;turn_off_light
đèn chói quá, tắt bớt đi;turn_off_light
đi ngủ đây;turn_off_light
ra ngoài thôi, tối lắm rồi;turn_off_light
không cần sáng thế đâu;turn_off_light
phòng này vắng quá;turn_off_light
trời sáng rồi, còn bật đèn làm gì;turn_off_light
điện lãng phí quá;turn_off_light
tối quá, tắt đèn đi;turn_off_light
đèn sáng trưng không ngủ được;turn_off_light
sáng quá nhỉ;turn_off_light
chói mắt quá;turn_off_light
không cần đèn nữa;turn_off_light
ánh sáng mạnh quá;turn_off_light
đủ sáng rồi;turn_off_light
không cần bật đèn;turn_off_light
thừa ánh sáng rồi;turn_off_light
sáng ghê;turn_off_light
không cần đèn đâu;turn_off_light
đèn sáng quá;turn_off_light
bật quạt lên đi;turn_on_fan
mở quạt phòng khách;turn_on_fan
bật quạt trần;turn_on_fan
cho quạt chạy đi;turn_on_fan
mở quạt cây trong phòng ngủ;turn_on_fan
bật quạt bàn học;turn_on_fan
bật quạt nhà bếp;turn_on_fan
mở quạt thông gió;turn_on_fan
bật hết quạt trong phòng;turn_on_fan
cho quạt quay đi;turn_on_fan
bật quạt hơi nước;turn_on_fan
mở quạt hút mùi;turn_on_fan
bật quạt phòng tắm;turn_on_fan
mở quạt sân vườn;turn_on_fan
bật quạt số lớn nhất;turn_on_fan
mở quạt đi;turn_on_fan
bật quạt phòng khách;turn_on_fan
cho quạt chạy;turn_on_fan
mở quạt phòng ngủ;turn_on_fan
bật quạt ngay;turn_on_fan
cho quạt quay;turn_on_fan
mở quạt giúp tôi;turn_on_fan
mở quạt đứng;turn_on_fan
cho quạt hoạt động;turn_on_fan
mở quạt phòng tôi;turn_on_fan
bật quạt ngoài sân;turn_on_fan
cho quạt chạy mạnh lên;turn_on_fan
bạn có thể bật quạt giúp tôi không;turn_on_fan
làm ơn mở quạt giúp tôi;turn_on_fan
bạn bật quạt phòng khách nhé;turn_on_fan
có thể bật quạt không;turn_on_fan
mở quạt giùm tôi với;turn_on_fan
bạn bật quạt giúp tôi được không;turn_on_fan
làm ơn bật quạt phòng ngủ;turn_on_fan
có thể cho quạt chạy không;turn_on_fan
bật quạt giúp tôi nhé;turn_on_fan
làm ơn mở quạt;turn_on_fan
làm ơn bật quạt giúp tôi;turn_on_fan
bạn có thể mở quạt phòng khách được không;turn_on_fan
phiền anh bật quạt trần dùm;turn_on_fan
cho tôi nhờ bật quạt cây nhé;turn_on_fan
làm ơn bật quạt bàn giúp em;turn_on_fan
có thể bật quạt nhà bếp được không;turn_on_fan
bạn vui lòng bật quạt thông gió;turn_on_fan
xin hãy bật quạt phòng ngủ giúp;turn_on_fan
làm ơn bật quạt đi, nóng quá;turn_on_fan
bật quạt giúp tôi với ạ;turn_on_fan
nóng quá, mở quạt cho tôi;turn_on_fan
tập thể dục xong, bật quạt cho mát;turn_on_fan
nấu ăn nóng quá, bật quạt nhà bếp;turn_on_fan
học bài mà nóng không tập trung được, bật quạt đi;turn_on_fan
có khách, bật quạt phòng khách;turn_on_fan
em bé ngủ nóng quá, bật quạt nhẹ thôi;turn_on_fan
phòng vừa lau xong, bật quạt cho khô;turn_on_fan
mùi thuốc lá nồng quá, bật quạt thông gió;turn_on_fan
máy tính nóng, bật quạt thổi vào;turn_on_fan
điều hòa chưa kịp mát, bật quạt trước;turn_on_fan
nóng quá, bật quạt lên đi;turn_on_fan
trong phòng ngột ngạt, mở quạt;turn_on_fan
không khí bí quá, bật quạt giúp tôi;turn_on_fan
trời nóng, mở quạt lên;turn_on_fan
đang làm việc, cần quạt;turn_on_fan
khó chịu quá, bật quạt;turn_on_fan
mồ hôi nhiều quá, mở quạt;turn_on_fan
không có gió, bật quạt;turn_on_fan
trời oi bức, mở quạt;turn_on_fan
cần làm mát, bật quạt;turn_on_fan
nóng quá nhỉ;turn_on_fan
không có gió gì cả;turn_on_fan
bí quá;turn_on_fan
ngột ngạt thật;turn_on_fan
không khí khó chịu quá;turn_on_fan
nóng ghê;turn_on_fan
không chịu nổi nhiệt độ này;turn_on_fan
phòng kín quá;turn_on_fan
hơi nóng rồi;turn_on_fan
chịu không nổi;turn_on_fan
nóng quá;turn_on_fan
nóng như đổ lửa;turn_on_fan
mồ hôi nhễ nhại rồi;turn_on_fan
sao phòng này ngột ngạt thế;turn_on_fan
gió đâu chẳng có;turn_on_fan
nóng quá, không chịu nổi;turn_on_fan
trời ơi, nóng muốn xỉu;turn_on_fan
mát tí đi;turn_on_fan
có gió không nhỉ;turn_on_fan
tắt quạt đi;turn_off_fan
tắt quạt;turn_off_fan
tắt quạt lên;turn_off_fan
tắt quạt giùm;turn_off_fan
tắt quạt phòng khách;turn_off_fan
tắt quạt phòng ngủ;turn_off_fan
tắt quạt nhà bếp;turn_off_fan
tắt cái quạt đi;turn_off_fan
tắt hết quạt đi;turn_off_fan
tắt quạt trần đi;turn_off_fan
tắt quạt cây đi;turn_off_fan
tắt quạt bàn đi;turn_off_fan
tắt quạt đi, không cần nữa;turn_off_fan
tắt quạt phòng tắm;turn_off_fan
tắt quạt ở đây đi;turn_off_fan
tắt quạt ngoài sân;turn_off_fan
tắt quạt ban công;turn_off_fan
tắt quạt cầu thang;turn_off_fan
tắt quạt hành lang;turn_off_fan
tắt quạt đi ạ;turn_off_fan
tắt quạt giùm cái;turn_off_fan
tắt quạt hộ tôi;turn_off_fan
tắt quạt đi, mát rồi;turn_off_fan
tắt quạt đi, lạnh rồi;turn_off_fan
tắt quạt, tôi ngủ đây;turn_off_fan
tắt quạt phòng con đi;turn_off_fan
tắt quạt phòng khách đi ạ;turn_off_fan
tắt quạt phòng ngủ đi em;turn_off_fan
tắt quạt nhà bếp đi mẹ ơi;turn_off_fan
tắt quạt kia đi;turn_off_fan
tắt quạt này đi;turn_off_fan
tắt quạt góc phòng;turn_off_fan
tắt quạt gần cửa sổ;turn_off_fan
tắt quạt ở trần nhà;turn_off_fan
tắt quạt đi, bật điều hòa;turn_off_fan
tắt quạt, tôi muốn yên tĩnh;turn_off_fan
tắt quạt đi, ồn quá;turn_off_fan
tắt hết quạt trong phòng;turn_off_fan
tắt quạt tầng một;turn_off_fan
tắt quạt tầng hai;turn_off_fan
tắt quạt dưới nhà;turn_off_fan
tắt quạt trên gác;turn_off_fan
tắt quạt trong bếp;turn_off_fan
tắt quạt ngoài hiên;turn_off_fan
tắt quạt sân vườn;turn_off_fan
tắt quạt chỗ tôi ngồi;turn_off_fan
tắt quạt đi, tôi lên phòng;turn_off_fan
tắt quạt đi, tôi ra ngoài;turn_off_fan
làm ơn tắt quạt giúp tôi;turn_off_fan
bạn có thể tắt quạt giúp tôi không;turn_off_fan
làm ơn tắt quạt phòng khách;turn_off_fan
bạn tắt quạt giúp tôi với;turn_off_fan
tắt quạt giúp tôi nhé;turn_off_fan
có thể tắt quạt được không ạ;turn_off_fan
làm ơn tắt quạt hộ tôi;turn_off_fan
bạn làm ơn tắt quạt đi;turn_off_fan
tôi nhờ bạn tắt quạt giúp;turn_off_fan
phiền bạn tắt quạt giúp tôi;turn_off_fan
bạn tắt quạt dùm tôi cái;turn_off_fan
làm ơn tắt hết quạt trong phòng;turn_off_fan
bạn có thể tắt quạt phòng ngủ không;turn_off_fan
làm ơn tắt quạt nhà bếp giúp tôi;turn_off_fan
bạn tắt quạt trần giúp mình với;turn_off_fan
có thể tắt cái quạt kia không;turn_off_fan
làm ơn tắt quạt đi ạ;turn_off_fan
bạn vui lòng tắt quạt giúp tôi;turn_off_fan
tắt quạt giúp anh với;turn_off_fan
tắt quạt giúp em cái;turn_off_fan
làm ơn tắt quạt cho tôi;turn_off_fan
bạn tắt quạt hộ tôi được không;turn_off_fan
tôi muốn nhờ bạn tắt quạt;turn_off_fan
bạn có thể tắt quạt ở đây không;turn_off_fan
làm ơn tắt quạt đi, cảm ơn;turn_off_fan
bạn tắt quạt giùm mình đi;turn_off_fan
phiền bạn một chút, tắt quạt giúp tôi;turn_off_fan
bạn làm ơn tắt quạt phòng tắm;turn_off_fan
làm ơn tắt hết quạt giúp tôi với;turn_off_fan
bạn tắt quạt dưới nhà giúp tôi nhé;turn_off_fan
có thể tắt quạt được rồi đấy ạ;turn_off_fan
làm ơn tắt quạt đi, tôi cảm ơn;turn_off_fan
bạn tắt quạt giúp tôi, tôi đang bận tay;turn_off_fan
làm ơn tắt quạt hộ tôi, tôi với không tới;turn_off_fan
bạn tắt quạt giùm em với, em lười quá;turn_off_fan
bạn có thể tắt quạt giúp tôi được không ạ;turn_off_fan
mở nhạc lên đi;play_music
"bật bài ""nơi này có anh"" của sơn tùng m-tp đi";play_music
cho tôi nghe vài bản nhạc trẻ;play_music
mở radio lên;play_music
bật playlist nhạc bolero tôi nghe với;play_music
cho chạy bài hát yêu thích của tôi;play_music
mở nhạc không lời để học bài;play_music
bật kênh âm nhạc trên tv đi;play_music
cho tôi nghe nhạc hàn quốc gần đây;play_music
"mở album ""một triệu khả năng"" đi";play_music
bật nhạc sôi động lên, tôi tập thể dục;play_music
cho tôi nghe vài bản rock;play_music
mở nhạc thiếu nhi cho con nghe;play_music
"bật bài ""bống bống bang bang"" đi";play_music
cho tôi nghe nhạc vàng, mấy bài của chế linh ấy;play_music
bật nhạc lên đi;play_music
bật một bài hát cho tôi nghe;play_music
cho tôi nghe nhạc trẻ;play_music
phát bài của sơn tùng đi;play_music
mở playlist yêu thích của tôi;play_music
bật nhạc không lời nhẹ nhàng;play_music
cho chạy nhạc quốc tế đi;play_music
mở bài hát mới nhất;play_music
bật nhạc hàn quốc;play_music
phát một bài remix sôi động;play_music
cho tôi nghe nhạc cổ điển;play_music
mở radio âm nhạc;play_music
bật danh sách nhạc chill;play_music
phát bài hát yêu thích của tôi;play_music
mở nhạc thư giãn;play_music
bạn có thể mở nhạc giúp tôi được không;play_music
làm ơn cho tôi nghe một bài hát nhẹ nhàng được không;play_music
phiền bạn bật giúp tôi bản nhạc yêu thích;play_music
có thể cho tôi nghe radio không;play_music
bạn có playlist nào hay không, bật thử đi;play_music
làm ơn mở nhạc trữ tình giúp tôi với ạ;play_music
bạn có thể bật nhạc quốc tế cho tôi nghe không;play_music
cho tôi xin một bài hát vui vẻ được không;play_music
bạn làm ơn bật nhạc không lời giúp tôi học bài;play_music
có thể mở album nhạc mới nhất được không;play_music
bạn có thể mở nhạc giúp tôi không;play_music
làm ơn bật cho tôi một bài hát được không;play_music
bạn mở nhạc nhẹ nhàng cho tôi nhé;play_music
có thể phát nhạc quốc tế không;play_music
làm ơn cho tôi nghe nhạc chill với;play_music
bạn bật nhạc lên giúp tôi được không;play_music
cho tôi nghe một bài của sơn tùng được không;play_music
bạn có thể mở radio âm nhạc không;play_music
làm ơn phát một bài nhạc không lời;play_music
mở giúp tôi playlist yêu thích được không;play_music
hôm nay buồn quá, mở nhạc lên đi;play_music
tập thể dục cần nhạc sôi động, bật nhạc giúp tôi;play_music
làm việc mà yên tĩnh quá, mở nhạc nhẹ đi;play_music
trời mưa nghe nhạc vàng chắc hợp, bật lên đi;play_music
muốn thư giãn một chút, mở nhạc không lời;play_music
đang dọn nhà, bật nhạc vui lên đi;play_music
tối rồi, mở nhạc chill nghe cho dễ ngủ;play_music
căng thẳng quá, cho tôi nghe nhạc thư giãn;play_music
đang lái xe, bật nhạc quốc tế giúp tôi;play_music
muốn có không khí, mở nhạc lên đi;play_music
hôm nay tôi không được vui, bật bài nào vui vẻ lên đi;play_music
tập thể dục cần nhạc sôi động, bật lên đi;play_music
con đang học bài, bố mở nhạc không lời cho con nhé;play_music
trời mưa buồn quá, bật vài bản nhạc jazz đi;play_music
vui quá, mở nhạc nhảy lên nào;play_music
em bé đang khóc, bật nhạc thiếu nhi cho cháu nghe;play_music
mẹ đang nấu ăn, mở nhạc trữ tình nghe cho vui;play_music
tôi đang làm việc nhà, bật nhạc sôi động lên cho có hứng;play_music
trời nóng quá, bật nhạc mát mẻ nghe cho đỡ bực;play_music
chuẩn bị đi ngủ rồi, mở nhạc êm dịu đi;play_music
nhà mình ồn ào quá;play_music
chán quá, có gì vui không;play_music
hôm nay tâm trạng thất thường quá;play_music
trời ơi, im ắng quá;play_music
lâu rồi chưa nghe nhạc nhỉ;play_music
có ai đó hát hay quá, muốn nghe thêm;play_music
ê, bài này nghe quen quá;play_music
hình như sắp có concert của sơn tùng nhỉ;play_music
radio đâu rồi nhỉ;play_music
tối nay thích nghe gì đó nhẹ nhàng;play_music
chán quá, có gì nghe không nhỉ;play_music
không khí yên tĩnh quá;play_music
hôm nay muốn nghe gì đó nhẹ nhàng;play_music
có bài nào hay không ta;play_music
tự nhiên muốn nghe nhạc ghê;play_music
không biết có bài nào chill không;play_music
nghe gì đó cho đỡ buồn đi;play_music
có gì vui vui để nghe không;play_music
mở cái gì đó cho đỡ im lặng đi;play_music
nghe nhạc chắc đỡ căng thẳng;play_music
im lặng quá nhỉ;play_music
đừng mở nhạc này;stop_music
dừng nhạc lại;stop_music
tắt bài hát này;stop_music
dừng phát nhạc;stop_music
tắt hết nhạc;stop_music
im đi, tắt nhạc;stop_music
dừng lại;stop_music
tắt cái này đi;stop_music
ngừng phát;stop_music
tắt radio;stop_music
dừng nhạc phòng khách;stop_music
tắt bản nhạc đang chạy;stop_music
ngừng ngay;stop_music
tắt hết âm thanh;stop_music
dừng playlist lại;stop_music
tắt nhạc;stop_music
dừng nhạc;stop_music
ngừng phát nhạc;stop_music
tắt bài hát;stop_music
dừng bài đang phát;stop_music
ngắt nhạc;stop_music
tắt nhạc đi;stop_music
dừng nhạc ngay;stop_music
tắt nhạc giúp tôi;stop_music
ngừng phát bài;stop_music
dừng playlist;stop_music
tắt nhạc luôn;stop_music
ngắt âm nhạc;stop_music
tắt bài hát ngay;stop_music
bạn có thể tắt nhạc giúp tôi không;stop_music
làm ơn dừng nhạc;stop_music
bạn tắt nhạc giúp tôi nhé;stop_music
có thể dừng nhạc không;stop_music
tắt nhạc giùm tôi;stop_music
bạn dừng nhạc giúp tôi được không;stop_music
làm ơn tắt bài hát;stop_music
có thể ngừng nhạc không;stop_music
dừng nhạc giúp tôi nhé;stop_music
làm ơn tắt nhạc;stop_music
làm ơn tắt nhạc giúp tôi;stop_music
bạn có thể dừng nhạc được không;stop_music
phiền anh tắt nhạc đi;stop_music
cho tôi nhờ tắt bài hát này;stop_music
làm ơn ngừng phát nhạc;stop_music
bạn vui lòng tắt nhạc giúp;stop_music
có thể dừng nhạc lại được không ạ;stop_music
xin hãy tắt nhạc;stop_music
làm ơn im lặng một chút;stop_music
dừng nhạc hộ tôi;stop_music
điện thoại reo, tắt nhạc đi;stop_music
con đang học, bố tắt nhạc giúp con;stop_music
họp online rồi, tắt nhạc đi;stop_music
em bé ngủ rồi, tắt nhạc kẻo thức;stop_music
ồn quá không nghe được ai gọi, tắt nhạc;stop_music
hết giờ tập thể dục rồi, tắt nhạc;stop_music
đau đầu quá, tắt nhạc đi;stop_music
phim đang hay, tắt nhạc nền đi;stop_music
ăn cơm xong rồi, tắt nhạc;stop_music
ra ngoài, tắt nhạc cho đỡ tốn điện;stop_music
ồn quá, tắt nhạc đi;stop_music
không nghe nhạc này nữa;stop_music
nhạc lớn quá, dừng lại;stop_music
cần yên tĩnh, tắt nhạc;stop_music
đang họp, dừng nhạc;stop_music
không hợp gu, tắt đi;stop_music
muốn nghỉ ngơi, tắt nhạc;stop_music
nhức đầu quá, dừng nhạc;stop_music
không thích nghe nhạc này;stop_music
không cần nhạc nữa;stop_music
ồn quá nhỉ;stop_music
không muốn nghe nữa;stop_music
nhạc hơi lớn;stop_music
không hợp lắm;stop_music
yên tĩnh chút đi;stop_music
không thích bài này;stop_music
khó chịu quá;stop_music
nhức đầu ghê;stop_music
không ổn lắm;stop_music
dừng lại thôi;stop_music
ồn quá;stop_music
im đi;stop_music
thôi, không nghe nữa;stop_music
đủ rồi;stop_music
im lặng được không;stop_music
làm ơn im lặng;stop_music
hết rồi;stop_music
đừng hát nữa;stop_music
dẹp đi;stop_music
hôm nay thời tiết thế nào;ask_weather
ngày mai có mưa không;ask_weather
nhiệt độ ngoài trời bao nhiêu;ask_weather
dự báo thời tiết tuần này ra sao;ask_weather
hôm nay nắng hay mưa;ask_weather
độ ẩm hôm nay cao không;ask_weather
bao giờ hết mưa;ask_weather
chiều nay có mưa rào không;ask_weather
sáng mai trời thế nào;ask_weather
cuối tuần thời tiết có đẹp không;ask_weather
nhiệt độ cao nhất hôm nay là bao nhiêu;ask_weather
có bão không;ask_weather
gió mạnh không;ask_weather
thời tiết ở hà nội hôm nay;ask_weather
dự báo thời tiết ngày mai;ask_weather
xem thời tiết hôm nay;ask_weather
cho tôi biết thời tiết;ask_weather
kiểm tra thời tiết;ask_weather
xem dự báo thời tiết;ask_weather
cho tôi xem thời tiết hôm nay;ask_weather
kiểm tra thời tiết ngoài trời;ask_weather
xem trời hôm nay thế nào;ask_weather
cho tôi thông tin thời tiết;ask_weather
mở dự báo thời tiết;ask_weather
xem nhiệt độ hôm nay;ask_weather
kiểm tra trời có mưa không;ask_weather
xem thời tiết ngày mai;ask_weather
cho biết thời tiết hiện tại;ask_weather
xem tình hình thời tiết;ask_weather
kiểm tra thời tiết giúp tôi;ask_weather
bạn có thể cho tôi biết thời tiết không;ask_weather
làm ơn xem giúp tôi thời tiết hôm nay;ask_weather
bạn kiểm tra thời tiết giúp tôi nhé;ask_weather
có thể cho tôi biết trời hôm nay thế nào không;ask_weather
làm ơn xem dự báo thời tiết;ask_weather
bạn cho tôi biết có mưa không;ask_weather
có thể kiểm tra thời tiết không;ask_weather
bạn xem thời tiết giúp tôi được không;ask_weather
làm ơn cho tôi biết nhiệt độ;ask_weather
bạn cho tôi xem thời tiết hôm nay;ask_weather
bạn có thể cho tôi biết thời tiết hôm nay không;ask_weather
làm ơn cho hỏi ngày mai có mưa không ạ;ask_weather
xin vui lòng cập nhật thời tiết hiện tại;ask_weather
phiền bạn cho tôi biết nhiệt độ bên ngoài;ask_weather
cho tôi hỏi dự báo thời tiết cuối tuần;ask_weather
bạn có thể thông báo thời tiết sáng nay không;ask_weather
làm ơn cho tôi biết có mưa không;ask_weather
xin hãy cho biết thời tiết khu vực tôi đang ở;ask_weather
cập nhật thời tiết giúp tôi;ask_weather
bạn vui lòng báo thời tiết;ask_weather
sắp ra ngoài, xem thời tiết giúp tôi;ask_weather
đi chơi nên cần biết thời tiết;ask_weather
không biết có mưa không, kiểm tra giúp tôi;ask_weather
muốn chuẩn bị đồ, xem thời tiết;ask_weather
trời có vẻ xấu, kiểm tra thời tiết;ask_weather
sắp đi làm, xem thời tiết hôm nay;ask_weather
đi du lịch nên cần xem thời tiết;ask_weather
không biết nóng hay lạnh, xem giúp tôi;ask_weather
muốn biết nhiệt độ, kiểm tra thời tiết;ask_weather
ra ngoài cần xem thời tiết;ask_weather
sắp đi chơi, cho hỏi thời tiết hôm nay thế nào;ask_weather
chuẩn bị đi làm, xem có cần mang áo mưa không;ask_weather
phơi đồ ngoài sân, liệu trời có mưa không;ask_weather
mai đi du lịch, xem thời tiết thế nào;ask_weather
trồng cây ngoài vườn, cần biết có nắng không;ask_weather
đi tập thể dục, trời có nóng quá không;ask_weather
hôm nay có bão không, tôi sợ lắm;ask_weather
sắp tổ chức tiệc ngoài trời, coi trời có mưa không;ask_weather
con đi học về, biết nắng hay mưa để đón;ask_weather
có cần bật điều hòa không;ask_weather
hôm nay trời thế nào nhỉ;ask_weather
nắng không;ask_weather
mưa không;ask_weather
nóng hay lạnh;ask_weather
có cần mang ô không;ask_weather
ngoài trời đang ra sao;ask_weather
có mưa không;ask_weather
trời đẹp quá nhỉ;ask_weather
sao lạnh thế này, bao nhiêu độ vậy;ask_weather
không biết hôm nay trời thế nào nhỉ;ask_weather
có mưa không ta;ask_weather
hôm nay nóng hay lạnh;ask_weather
thời tiết sao rồi;ask_weather
trời hôm nay thế nào;ask_weather
có cần mang áo khoác không;ask_weather
ngoài trời ra sao;ask_weather
trời có đẹp không;ask_weather
có nắng không nhỉ;ask_weather
hôm nay thời tiết ổn không;ask_weather
xem giờ;ask_time
cho tôi biết giờ;ask_time
kiểm tra thời gian;ask_time
xem giờ hiện tại;ask_time
cho tôi biết bây giờ là mấy giờ;ask_time
xem đồng hồ;ask_time
kiểm tra giờ;ask_time
xem thời gian hiện tại;ask_time
cho tôi xem giờ;ask_time
